Data_Number,State,Action,Reward,Angle,Acceleration,pos_cart
1,13,0,-98,12,45,0
2,12,0,-98,11,37,0
3,6,0,-99,6,52,0
4,0,1,-100,0,47,0
5,-2,0,-99,-1,49,0
6,2,0,-99,2,50,0
7,6,1,-99,6,46,0
8,8,0,-99,8,47,0
9,8,1,-99,8,52,0
10,0,0,-100,0,152,40
11,1,1,-99,1,48,40
12,4,1,-99,4,52,40
13,6,0,-99,6,48,40
14,7,1,-99,7,44,40
15,6,1,-99,6,42,40
16,4,0,-99,4,52,40
17,2,1,-99,2,48,40
18,3,1,-99,3,52,40
19,4,1,-99,4,48,40
19,4,1,-99,4,48,40
19,4,1,-99,4,48,40
19,4,1,-99,4,48,40
19,4,1,-99,4,48,40
19,4,1,-99,4,48,40
19,4,1,-99,4,48,40
19,4,1,-99,4,48,40
19,4,1,-99,4,48,40
19,4,1,-99,4,48,40
19,4,1,-99,4,48,40
19,4,1,-99,4,48,40
19,4,1,-99,4,48,40
19,4,1,-99,4,48,40
19,4,1,-99,4,48,40
19,4,1,-99,4,48,40
19,4,1,-99,4,48,40
19,4,1,-99,4,48,40
19,4,1,-99,4,48,40
19,4,1,-99,4,48,40
19,4,1,-99,4,48,40
19,4,1,-99,4,48,40
19,4,1,-99,4,48,40
19,4,1,-99,4,48,40
19,4,1,-99,4,48,40
19,4,1,-99,4,48,40
19,4,1,-99,4,48,40
19,4,1,-99,4,48,40
19,4,1,-99,4,48,40
19,4,1,-99,4,48,40
19,4,1,-99,4,48,40
19,4,1,-99,4,48,40
19,4,1,-99,4,48,40
19,4,1,-99,4,48,40
19,4,1,-99,4,48,40
19,4,1,-99,4,48,40
19,4,1,-99,4,48,40
19,4,1,-99,4,48,40
19,4,1,-99,4,48,40
19,4,1,-99,4,48,40
19,4,1,-99,4,48,40
19,4,1,-99,4,48,40
19,4,1,-99,4,48,40
19,4,1,-99,4,48,40
19,4,1,-99,4,48,40
19,4,1,-99,4,48,40
19,4,1,-99,4,48,40
19,4,1,-99,4,48,40
19,4,1,-99,4,48,40
19,4,1,-99,4,48,40
19,4,1,-99,4,48,40
19,4,1,-99,4,48,40
20,0,1,-100,0,15,80
20,0,1,-100,0,15,80
20,0,1,-100,0,15,80
20,0,1,-100,0,15,80
20,0,1,-100,0,15,80
20,0,1,-100,0,15,80
20,0,1,-100,0,15,80
20,0,1,-100,0,15,80
20,0,1,-100,0,15,80
20,0,1,-100,0,15,80
20,0,1,-100,0,15,80
20,0,1,-100,0,15,80
20,0,1,-100,0,15,80
20,0,1,-100,0,15,80
20,0,1,-100,0,15,80
20,0,1,-100,0,15,80
20,0,1,-100,0,15,80
20,0,1,-100,0,15,80
20,0,1,-100,0,15,80
20,0,1,-100,0,15,80
20,0,1,-100,0,15,80
20,0,1,-100,0,15,80
20,0,1,-100,0,15,80
20,0,1,-100,0,15,80
20,0,1,-100,0,15,80
20,0,1,-100,0,15,80
20,0,1,-100,0,15,80
20,0,1,-100,0,15,80
20,0,1,-100,0,15,80
20,0,1,-100,0,15,80
20,0,1,-100,0,15,80
20,0,1,-100,0,15,80
20,0,1,-100,0,15,80
20,0,1,-100,0,15,80
20,0,1,-100,0,15,80
20,0,1,-100,0,15,80
20,0,1,-100,0,15,80
20,0,1,-100,0,15,80
20,0,1,-100,0,15,80
20,0,1,-100,0,15,80
20,0,1,-100,0,15,80
20,0,1,-100,0,15,80
20,0,1,-100,0,15,80
20,0,1,-100,0,15,80
20,0,1,-100,0,15,80
20,0,1,-100,0,15,80
20,0,1,-100,0,15,80
20,0,1,-100,0,15,80
20,0,1,-100,0,15,80
20,0,1,-100,0,15,80
20,0,1,-100,0,15,80
20,0,1,-100,0,15,80
20,0,1,-100,0,15,80
20,0,1,-100,0,15,80
20,0,1,-100,0,15,80
20,0,1,-100,0,15,80
20,0,1,-100,0,15,80
20,0,1,-100,0,15,80
20,0,1,-100,0,15,80
20,0,1,-100,0,15,80
20,0,1,-100,0,15,80
20,0,1,-100,0,15,80
20,0,1,-100,0,15,80
20,0,1,-100,0,15,80
20,0,1,-100,0,15,80
20,0,1,-100,0,15,80
20,0,1,-100,0,15,80
20,0,1,-100,0,15,80
20,0,1,-100,0,15,80
20,0,1,-100,0,15,80
20,0,1,-100,0,15,80
20,0,1,-100,0,15,80
20,0,1,-100,0,15,80
20,0,1,-100,0,15,80
20,0,1,-100,0,15,80
20,0,1,-100,0,15,80
20,0,1,-100,0,15,80
20,0,1,-100,0,15,80
20,0,1,-100,0,15,80
20,0,1,-100,0,15,80
20,0,1,-100,0,15,80
20,0,1,-100,0,15,80
20,0,1,-100,0,15,80
20,0,1,-100,0,15,80
20,0,1,-100,0,15,80
20,0,1,-100,0,15,80
20,0,1,-100,0,15,80
20,0,1,-100,0,15,80
20,0,1,-100,0,15,80
20,0,1,-100,0,15,80
20,0,1,-100,0,15,80
